"Lahaha","Shugo Tokumaru","Port Entrophy"
"Malerina","Shugo Tokumaru","Port Entrophy"
"Immoral But Just Fine, Okay","Buke & Gase","Riposte"
"Bundletuck","Buke & Gase","Riposte"
"Malerina","Shugo Tokumaru","Port Entrophy"
"Page Break","Buke & Gase","Riposte"
"Malerina","Shugo Tokumaru","Port Entrophy"
"Tracking Elevator","Shugo Tokumaru","Port Entrophy"
"Your Face Left Before You","Buke & Gase","Riposte"
"Naked Cities","Buke & Gase","Riposte"
"Broken Homes","Ulrich Schnauss","A Long Way To Fall"
"Borrowed Time","Ulrich Schnauss","A Long Way To Fall"
"Red Hood Came Home","Buke & Gase","Riposte"
"Casimir Pulaski Day","Sufjan Stevens","Illinois"
"Paper Tiger","Beck","Sea Change"
"Gamma Ray","Beck","Modern Guilt"
"Strangers","Lotus Plaza","Spooky Action At a Distance"
"Monoliths","Lotus Plaza","Spooky Action At a Distance"
"Asteroid","Kyuss","Sky Valley"
"Shelia","Atlas Sound","Logos"
"Space Cadet","Kyuss","Sky Valley"
"Return to Form","Daniel Rossen","Silent Hour / Golden Mile"
"Too Long / Steam Machine","Daft Punk","Alive 2007"
"Katachi","Shugo Tokumaru","In Focus?"
