"Hard Times","Buke & Gase","General Dome"
"Twisting the Lasso of Truth","Buke & Gase","General Dome"
"Split Like a Lip, No Blood On the Beard","Buke & Gase","General Dome"
"Gold Lion","Yeah Yeah Yeahs","Show Your Bones"
"Get Lucky","Daft Punk","Get Lucky feat. Pharrell Williams"
"Grand Canyon","Kavinsky","OutRun"
"Wakin on a Pretty Day","Kurt Vile","Wakin On A Pretty Daze"
"Too Hard","Kurt Vile","Wakin On A Pretty Daze"
"Shame Chamber","Kurt Vile","Wakin On A Pretty Daze"
"1901","Phoenix","Wolfgang Amadeus Phoenix"
"Fences","Phoenix","Wolfgang Amadeus Phoenix"
"TKOL (Altrice RMX)","Radiohead","TKOL RMX 1234567"
"Acrid Avid Jam Shred","Aphex Twin","I Care Because You Do"
"Strings and attractors","How To Destroy Angels","Welcome oblivion"
